,iso_code,location,date,total_cases,total_deaths,population,total_cases_per_million,total_cases_per_hundred
0,USA,United States,2022-03-05,79265726.0,958437.0,332915074.0,238095.936,23.809593554180726
1,IND,India,2022-03-05,42962953.0,515036.0,1393409033.0,30832.98,3.0832980110299024
2,BRA,Brazil,2022-03-05,29040800.0,652216.0,213993441.0,135708.832,13.570883230949121
3,FRA,France,2022-03-05,23064766.0,139312.0,67422000.0,342095.547,34.20955474474207
4,GBR,United Kingdom,2022-03-05,19172095.0,162152.0,68207114.0,281086.442,28.108644209752082
5,RUS,Russia,2022-03-05,16619507.0,348467.0,145912022.0,113900.875,11.390087514516111
6,DEU,Germany,2022-03-05,15830112.0,124107.0,83900471.0,188677.272,18.867727214546864
7,TUR,Turkey,2022-03-05,14326217.0,95379.0,85042736.0,168459.032,16.84590321741295
8,ITA,Italy,2022-03-05,12990223.0,155782.0,60367471.0,215185.808,21.518580760158066
9,ESP,Spain,2022-03-05,11100428.0,100413.0,46745211.0,237466.636,23.746663588704305
10,ARG,Argentina,2022-03-05,8934328.0,126708.0,45605823.0,195903.229,19.590322928718994
11,IRN,Iran,2022-03-05,7084306.0,137747.0,85028760.0,83316.586,8.331658605864652
12,NLD,Netherlands,2022-03-05,6734097.0,21714.0,17173094.0,392130.678,39.21306783739727
13,COL,Colombia,2022-03-05,6070616.0,139037.0,51265841.0,118414.443,11.841444286459673
14,POL,Poland,2022-03-05,5734041.0,112535.0,37797000.0,151706.247,15.170624652750217
15,IDN,Indonesia,2022-03-05,5723858.0,149918.0,276361788.0,20711.467,2.071146681103395
16,MEX,Mexico,2022-03-05,5554392.0,319604.0,130262220.0,42640.084,4.264008397830161
17,JPN,Japan,2022-03-05,5341246.0,24816.0,126050796.0,42373.759,4.237375859173471
18,UKR,Ukraine,2022-03-05,5040518.0,112459.0,43466822.0,115962.423,11.596242301772143
19,KOR,South Korea,2022-03-05,4456264.0,8957.0,51305184.0,86857.967,8.685796741319551
20,VNM,Vietnam,2022-03-05,4232520.0,40726.0,98168829.0,43114.704,4.311470395557025
21,ZAF,South Africa,2022-03-05,3683172.0,99543.0,60041996.0,61343.264,6.13432638048875
22,ISR,Israel,2022-03-05,3669112.0,10274.0,9291000.0,394910.343,39.491034334302014
23,PHL,Philippines,2022-03-05,3666678.0,56879.0,111046910.0,33019.181,3.301918081286548
24,CZE,Czechia,2022-03-05,3624937.0,38892.0,10724553.0,338003.551,33.800355129020296
25,MYS,Malaysia,2022-03-05,3595172.0,33173.0,32776195.0,109688.51,10.968851021297622
26,BEL,Belgium,2022-03-05,3586292.0,30259.0,11632334.0,308303.733,30.83037333694167
27,PER,Peru,2022-03-05,3522484.0,210907.0,33359415.0,105591.9,10.55918996181438
28,AUS,Australia,2022-03-05,3362035.0,5416.0,25788217.0,130370.975,13.037097524035882
29,CAN,Canada,2022-03-05,3334009.0,36998.0,38067913.0,87580.556,8.75805563598929
30,PRT,Portugal,2022-03-05,3322134.0,21182.0,10167923.0,326726.904,32.67269038130993
31,CHL,Chile,2022-03-05,3168335.0,42955.0,19212362.0,164911.269,16.49112691089206
32,THA,Thailand,2022-03-05,3026695.0,23235.0,69950844.0,43268.885,4.326888464705301
33,CHE,Switzerland,2022-03-05,2890568.0,13174.0,8715494.0,331658.538,33.165853823087936
34,DNK,Denmark,2022-03-05,2853236.0,4830.0,5813302.0,490811.59,49.0811590383572
35,AUT,Austria,2022-03-05,2839297.0,14986.0,9043072.0,313974.831,31.397483067700886
36,ROU,Romania,2022-03-05,2765169.0,63931.0,19127772.0,144563.047,14.456304686191364
37,GRC,Greece,2022-03-05,2499259.0,26143.0,10370747.0,240991.223,24.099122271520073
38,SWE,Sweden,2022-03-05,2455966.0,17512.0,10160159.0,241725.154,24.172515410437967
39,IRQ,Iraq,2022-03-05,2307555.0,25041.0,41179351.0,56036.702,5.6036701501196555
40,SVK,Slovakia,2022-03-05,2190599.0,18663.0,5449270.0,401998.616,40.19986163284256
41,BGD,Bangladesh,2022-03-05,1946737.0,29077.0,166303494.0,11705.93,1.170592964210361
42,SRB,Serbia,2022-03-05,1923977.0,15405.0,6871547.0,279991.827,27.999182716788518
43,HUN,Hungary,2022-03-05,1800046.0,44286.0,9634162.0,186839.914,18.68399140475321
44,JOR,Jordan,2022-03-05,1638228.0,13849.0,10269022.0,159531.063,15.953106342551413
45,GEO,Georgia,2022-03-05,1623672.0,16338.0,3979773.0,407981.058,40.79810582161345
46,PAK,Pakistan,2022-03-05,1514258.0,30265.0,225199929.0,6724.061,0.6724060734495169
47,KAZ,Kazakhstan,2022-03-05,1391984.0,18967.0,18994958.0,73281.762,7.328176245506834
48,IRL,Ireland,2022-03-05,1315100.0,6531.0,4982904.0,263922.403,26.39224034819856
49,NOR,Norway,2022-03-05,1305006.0,1664.0,5465629.0,238765.932,23.876593160640798
50,MAR,Morocco,2022-03-05,1161586.0,16015.0,37344787.0,31104.368,3.1104368060795204
51,BGR,Bulgaria,2022-03-05,1100811.0,35811.0,6896655.0,159615.205,15.961520476230866
52,LBN,Lebanon,2022-03-05,1077242.0,10142.0,6769151.0,159139.898,15.913989804629857
53,CUB,Cuba,2022-03-05,1072474.0,8499.0,11317498.0,94762.464,9.476246428318344
54,HRV,Croatia,2022-03-05,1062953.0,15194.0,4081657.0,260421.932,26.04219315831781
55,TUN,Tunisia,2022-03-05,1005167.0,27922.0,11935764.0,84214.718,8.421471805240117
56,NPL,Nepal,2022-03-05,977447.0,11945.0,29674920.0,32938.488,3.293848812397809
57,BLR,Belarus,2022-03-05,929340.0,6550.0,9442867.0,98417.144,9.841714386107524
58,LTU,Lithuania,2022-03-05,928612.0,8503.0,2689862.0,345226.632,34.5226632444341
59,MNG,Mongolia,2022-03-05,911183.0,2174.0,3329282.0,273687.54,27.36875398359166
